author,affiliations
"Name(first='Yang', last='Liu')",Unknown; Tsinghua University; Peking University; Nanyang Technological University
"Name(first='Haoyang', last='Wen')",Carnegie Mellon University
"Name(first='Eduard', last='Hovy')",University of Melbourne and Carnegie Mellon University
"Name(first='Alexander', last='Hauptmann')","School of Computer Science, Carnegie Mellon University"
"Name(first='Jiahao', last='Li')",University of Science and Technology of China; Dalian University of Technology
"Name(first='Quan', last='Wang')",Beijing University of Posts and Telecommunications
"Name(first='Licheng', last='Zhang')",University of Science and Technology of China; Unknown
"Name(first='Guoqing', last='Jin')",Unknown
"Name(first='Zhendong', last='Mao')",University of Science and Technology of China
"Name(first='Yizhe', last='Zhang')",Apple
"Name(first='Jiarui', last='Lu')",Apple
"Name(first='Navdeep', last='Jaitly')",Apple
"Name(first='Shangqing', last='Tu')",Unknown
"Name(first='Yuliang', last='Sun')",Unknown
"Name(first='Yushi', last='Bai')",Unknown
"Name(first='Jifan', last='Yu')",Unknown
"Name(first='Lei', last='Hou')",Tsinghua University
"Name(first='Juanzi', last='Li')",Unknown
"Name(first='Yida', last='Zhao')",Unknown
"Name(first='Chao', last='Lou')",ShanghaiTech University
"Name(first='Kewei', last='Tu')",ShanghaiTech University
"Name(first='Zhengrui', last='Ma')","institute of computing technology, Chinese Academy of Sciences"
"Name(first='Qingkai', last='Fang')","institute of computing technology, Chinese Academy of Sciences"
"Name(first='Shaolei', last='Zhang')",Unknown
"Name(first='Shoutao', last='Guo')",Unknown
"Name(first='Yang', last='Feng')","Unknown; institute of computing technology, Chinese Academy of Sciences"
"Name(first='Min', last='Zhang')","Harbin Institute of Technology, Shenzhen; Harbin Institute Of Technology; Huawei; Huawei Technologies Ltd.; Unknown"
"Name(first='Zhenhua', last='Liu')",Soochow University
"Name(first='Tong', last='Zhu')","Soochow University, China"
"Name(first='Chuanyuan', last='Tan')",Unknown
"Name(first='Bing', last='Liu')",Hefei University of Technology; OPPO AI Center
"Name(first='Haonan', last='Lu')","OPPO Guangdong Mobile Telecommunications Co., Ltd."
"Name(first='Wenliang', last='Chen')","Soochow University, China"
"Name(first='Zhihan', last='Zhang')",Singapore Management University; Unknown
"Name(first='Yixin', last='Cao')",Fudan University
"Name(first='Chenchen', last='Ye')","University of California, Los Angeles"
"Name(first='Yunshan', last='Ma')",Unknown
"Name(first='Lizi', last='Liao')",Singapore Management University
"Name(first='Tat-Seng', last='Chua')",National University of Singapore
"Name(first='Senyu', last='Han')",Unknown
"Name(first='Lu', last='Chen')",Shanghai Jiaotong University
"Name(first='Li-Min', last='Lin')",Shanghai Jiaotong University
