author_id,author_name,coauthor_average_h_index
1729168,Amit Bagga,1.0
1729172,Inderjeet Mani,1.38
1729294,Boris Chidlovskii,1.5
1729306,Il-Chul Moon,1.0
1729326,Slobodan Vucetic,1.0
1729436,Rick Siow Mong Goh,2.0
1729571,Kihyuk Sohn,3.53
1729762,Maximilian Nickel,5.83
1729778,Huajun Chen,2.61
1729906,Prasad Tadepalli,3.44
1729912,Krishnamurthy Dvijotham,6.29
1729918,Nathanael Chambers,3.84
1729928,Alan Mislove,4.0
1729960,Ozlem Kalinli,1.38
1729964,Changjun Fan,3.2
1730054,Guilin Qi,1.62
1730108,Minlie Huang,3.69
1730156,Carlos Guestrin,12.0
1730221,Charles Callaway,1.0
1730293,Masato Takeichi,0.5
1730344,Sourav Bhowmick,1.0
1730372,Payel Das,2.57
1730400,Iryna Gurevych,3.13
1730531,Tarek Abdelzaher,1.8
1730535,Andrew Lan,1.67
1730720,Faramarz Fekri,2.67
1730727,Jei-Wen Teng,0.0
1730911,Marc Swerts,2.5
1730936,Chu-Ren Huang,1.6
1730942,Pamela Jordan,3.25
1731120,Gert Smolka,1.0
1731353,Norbert Reithinger,0.25
1731375,Michael R. Brent,0.5
1731383,Raphaël Rubino,1.8
1731438,Todd Mytkowicz,3.57
1731462,Kostas Tsioutsiouliklis,1.0
1731651,Pierpaolo Basile,1.0
1731655,Panagiotis Karras,0.33
1731657,Makoto Miwa,3.11
1731707,Kyomin Jung,3.06
1731776,Yongfeng Huang,2.39
1731892,Jiaoyan Chen,2.22
1731960,Nina Tahmasebi,2.25
1732053,Mukesh Mohania,0.25
1732056,Manos Tsagkias,2.9
1732071,Ralph Weischedel,2.78
1732180,Éric Gaussier,1.7
1732265,Stefano Montanelli,1.5
1732280,Gal Chechik,1.78
1732330,Kurt Keutzer,4.4
1732377,Ruth Aylett,0.0
1732417,Takehito Utsuro,0.81
1732454,Takahiro Shinozaki,1.33
1732536,Scott Sanner,1.67
1732541,Falk Scholer,1.25
1732690,Thomas Seidl,1.0
